Time,M0,M1,M2,M3,M4,M5,M6,M7
2.613333333,-0.059318938,-0.077494864,0.017345122,0.020771835,-0.045105111,0.048404951,0.065689399,0.035702211
2.641133333,0.08105669,-0.089209342,0.06359165,0.042709655,-0.020167497,0.064314065,0.063735421,0.011514467
2.668922222,0.02998556,-0.078704668,0.191261243,-0.063352327,-0.063415261,0.144606407,0.072507833,0.017822297
2.696713889,0.027402811,-0.100072194,0.07285843,-0.044111228,-0.016527623,0.143964676,0.073600236,0.02355406
2.724505556,0.065006063,-0.114952479,0.076002456,0.061590584,-0.021988316,0.149043863,0.072375515,0.065659707
2.752316667,0.069392885,-0.141724124,0.091026702,0.027888315,-0.017054132,0.169747461,0.065855897,-0.006748508
2.780108333,0.057847773,-0.138419178,0.026315422,-0.048652628,-0.046049894,0.196150305,0.068294966,0.021233179
2.807905556,0.050543378,-0.116983423,0.098363494,-0.025485517,0.002842385,0.199628187,0.059161199,0.023615826
2.835694444,0.049323076,-0.158770086,0.018677177,-0.037580087,-0.038009535,0.154334505,0.083411613,0.009912543
2.863480556,0.059920759,-0.165019241,0.174015547,-0.053504391,-0.023983277,0.128516629,0.076700108,0.021920334
2.891277778,0.076489289,-0.161670122,0.073859441,-0.067547588,-0.031138473,0.183296286,0.076809283,-0.009886424
2.919077778,0.078537795,-0.158826876,0.107394341,-0.01990779,-0.014930182,0.150362628,0.089779746,0.019798522
2.946886111,0.089314216,-0.156609466,0.098475717,-0.037544149,-0.004151149,0.05812818,0.066804501,0.048748135
2.974686111,0.032449505,-0.128416298,0.075191457,-0.025918342,-0.031010469,0.066200443,0.068168755,0.01586843
3.002494444,0.03033442,-0.107883881,0.074506757,-0.087478235,-0.015234318,0.110696113,0.040882777,0.017786066
3.030283333,0.026645043,-0.153979933,0.10958749,-0.005208064,-0.051772069,0.133228812,0.076500292,0.002563312
3.058080556,0.063652949,-0.161918128,0.065562339,-0.08363053,-0.008781503,0.118540698,0.08968678,0.035534389
3.085877778,0.043425071,-0.164222281,0.065049712,-0.051878607,-0.027264515,0.060838241,0.049622407,0.018884409
3.113677778,0.067535679,-0.168481714,0.062217478,-0.074471721,-0.002697799,0.092238477,0.058813129,-0.037415856
3.141463889,0.075734327,-0.158575591,0.071285926,-0.080744265,-0.028291513,-0.000832795,0.055774566,0.044936271
3.169275,0.086908463,-0.180947531,0.087220753,-0.007085646,-0.026299518,0.009636276,0.084558718,0.017072468
