Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,M0-2,M1-2,M2-2,M3-2,M4-2,M5-2,M6-2,M7-2
2.529886111,0.163408588,-0.080452196,0.121219567,0.026137124,0.02761562,0.147614447,0.148345944,0.176730217,0.037758865,-0.028636644,0.074593807,0.075603161,-0.025457925,0.170365408,0.121951616,0.118230683
2.557680556,0.168183069,-0.037758568,0.153590297,0.019673596,0.023806627,0.152413408,0.142088258,0.072864536,0.04770287,-0.057167252,0.059834533,0.001112976,-0.017589014,0.114800388,0.116361005,0.065826881
2.585488889,0.140440526,-0.031313441,0.036839232,0.002673253,0.037446031,0.126539657,0.148856553,0.104769969,0.042678606,-0.078987542,0.073355598,-0.005471692,0.004167365,0.135439152,0.121517024,0.041343954
2.613291667,0.139743644,-0.061512722,0.051561739,0.050002958,0.031592402,0.147248812,0.133186339,0.052478359,0.034365155,-0.051560809,0.054325521,-0.0421689,-0.017853012,0.182922717,0.131349946,0.08823154
2.641086111,0.187381967,-0.024139128,0.098399768,-0.002741284,0.024252894,0.142068856,0.138038563,0.086191378,0.033448355,-0.027940486,0.066771514,0.095230087,-0.020485992,0.176527085,0.148943706,0.073325423
2.668891667,0.17639218,-0.065803423,0.079973798,0.005319044,0.013352383,0.130998861,0.137176735,0.080505383,0.027854536,-0.030891979,0.082348945,-0.020918772,-0.014488835,0.157169783,0.114233322,0.054054235
2.6967,0.142018517,-0.076790919,0.129824486,0.004810533,0.032395654,0.132319802,0.146637996,0.112624358,0.004880157,0.01185427,0.072922051,0.151852077,-0.029879696,0.228380038,0.134050084,0.062670144
2.724511111,0.143531063,-0.034739196,0.072827196,0.015798671,0.011227011,0.158976646,0.146752296,0.090008051,0.084797522,-0.028167268,0.091946681,-0.023623919,-0.008262126,0.174684958,0.115974841,0.067282312
2.752305556,0.146684445,-0.031311506,0.079890361,-0.005330278,0.034174368,0.144216343,0.146832263,0.067396829,0.048314045,-0.094770681,0.055282238,-0.067732649,-0.007933343,0.233872799,0.13451827,0.068852285
2.780111111,0.162832715,-0.021950721,0.09869975,0.009622894,0.008471352,0.153858042,0.142686472,0.101304375,0.100526226,-0.100896405,0.07529437,-0.083441559,0.005095332,0.110530023,0.118673075,0.071062556
2.807922222,0.160397355,-0.029604528,0.112058213,-0.01847633,0.068367777,0.14549568,0.138387357,0.06364229,0.066037389,-0.011900761,0.057974729,0.15146265,-0.019407453,0.147597854,0.141031255,0.101479204
2.835727778,0.191420252,-0.026768364,0.114851728,-0.021979031,-0.002924071,0.128314818,0.159843357,0.094602779,0.056980386,-0.046956395,0.079371956,0.053086901,0.008751263,0.208735805,0.16390189,0.070126483
2.863538889,0.16702064,-0.054927899,0.116671895,0.013074125,0.011182733,0.138744439,0.14729244,0.077400865,0.043079628,-0.013868279,0.052185633,-0.105795669,0.024823835,0.215062551,0.145042604,0.02184471
2.891347222,0.147055539,-0.048043794,0.103232683,-0.000612484,0.006432404,0.135548838,0.151327488,0.061635416,0.053150787,-0.031043463,0.060767214,0.124896116,0.034525614,0.159448114,0.150488561,0.072778304
2.919152778,0.151185652,-0.042584743,0.055490554,0.010261939,0.032678559,0.149539165,0.146294669,0.050154255,0.012318409,-0.044941862,0.047756818,-0.111959575,0.062722091,0.170781394,0.149845421,0.11532654
2.946961111,0.188085019,-0.029502229,0.168330066,-0.009743388,0.046059558,0.144355727,0.130586537,0.109775273,-0.006869034,-0.013435931,0.07850827,0.048068378,0.072365313,0.116271496,0.138635012,0.096256994
