Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,,,,
2.724711111,0.041417232,-0.101529087,0.091821519,-0.067398152,0.122336878,0.135415457,0.099751239,0.08016855,,,,
2.752522222,0.059123292,-0.084508455,0.074306977,-0.032462985,0.128696769,0.164938406,0.108088475,0.027887529,,,,
2.780333333,0.055723555,-0.112092532,0.131349195,-0.06162857,0.120899873,0.189455226,0.105298681,0.055272118,,,,
2.808136111,0.045938568,-0.112076918,0.122765255,-0.007415649,0.124964207,0.155012599,0.100211929,0.059083365,,,,
2.835927778,0.0435173,-0.190269283,0.12628393,-0.055344344,0.119293254,0.15061667,0.104919651,0.075184931,,,,
2.863719444,0.053426067,-0.055313867,0.107921501,-0.025011256,0.119315276,0.143760533,0.106378665,0.098077728,,,,
2.891505556,0.055839886,-0.026565839,0.11627966,-0.025325105,0.119090059,0.133419826,0.104949115,-0.008575918,,,,
2.919308333,0.057100144,-0.143733196,0.10944409,-0.056839691,0.110465401,0.160005303,0.108777606,0.097743318,,,,
2.947122222,0.054180499,-0.061090379,0.112596214,-0.022324239,0.106334849,0.174313675,0.10597011,0.034927421,,,,
2.974927778,0.061428742,0.02620322,0.104351457,-0.026628303,0.111904366,0.172373706,0.103338951,0.055530901,,,,
3.002716667,0.043533372,-0.097334133,0.138840154,-0.021833371,0.133673402,0.141741348,0.109078428,0.04349185,,,,
3.030508333,0.043410711,0.130637724,0.109702348,-0.047292754,0.129082915,0.186007087,0.105627756,0.352201585,,,,
3.058316667,0.03196416,-0.15624938,0.08588802,-0.015906398,0.126890967,0.188397952,0.113517919,0.057999433,,,,
3.086119444,0.033405297,-0.055465453,0.213226469,-0.07599576,0.111001922,0.169785597,0.117093101,0.067620538,,,,
3.113908333,0.047407821,-0.058877397,0.099271259,-0.038888731,0.120207306,0.188044633,0.113980962,-0.037171428,,,,
3.141713889,0.052514246,0.027135978,0.117102379,-0.052988965,0.115906984,0.167036747,0.100828084,0.07033477,,,,
3.169522222,0.071308926,0.093888621,0.107832807,-0.025041094,0.129239381,0.166488345,0.106026435,0.030800125,,,,
3.197316667,0.052142608,0.056030196,0.118440364,-0.04354749,0.113835841,0.150392565,0.11036091,-0.057156029,,,,
3.225113889,0.038082005,0.118788906,0.044101491,-0.027288005,0.114174039,0.188485468,0.102039081,0.075525873,,,,
3.252922222,0.034327482,0.016716554,0.108643276,-0.017795459,0.149870619,0.191727819,0.112700988,0.029006777,,,,
3.280727778,0.023740068,0.051011189,0.220782528,-0.021284479,0.154914932,0.166552858,0.097267431,-0.123125518,,,,
3.308536111,0.032451494,0.011091456,0.048815514,-0.014458015,0.157456453,0.150801094,0.093749863,0.146996071,,,,
3.336330556,0.031947681,0.022014486,0.11505895,-0.021864304,0.164439765,0.161631069,0.110102703,0.017568824,,,,
