Time,M0 - SGy104-1 - 1%,M1 - SGy104-5 - 1%,M2 - SGy104-4 - 3%,M3 - SGy104-5 - 3%,M4 - SGy104-4 - 6%,M5 - SGy104-5 - 6%,M6 - SGy104-4 - 10%,M7 - SGy104-5 - 10%
3.030375,0.031082809,0.006012433,0.061183416,0.070818989,0.178496549,0.077930801,0.025565375,-0.050886376
3.058158333,0.008992269,0.007443782,0.062342647,0.072149041,0.173502328,0.1342835,0.041414755,-0.039874737
3.085969444,0.016915905,0.008334851,0.062641937,0.069947665,0.163657114,0.106924267,0.044877256,-0.026771612
3.113777778,-0.005583552,0.025934266,0.057402242,0.070764111,0.171052593,0.088000983,0.086631476,-0.04318519
3.141563889,0.025651244,0.018669679,0.064185035,0.072156049,0.163180528,0.112120099,0.039436092,-0.043806833
3.169352778,0.013583697,0.009941715,0.048379196,0.073110312,0.163395404,0.160614567,0.064722415,-0.027675856
3.197144444,-0.016626199,0.012026133,0.06398224,0.072718834,0.213511585,0.084627794,0.058269792,-0.03949529
3.224955556,-0.010501158,-0.000570904,0.041839958,0.070906413,0.196929772,0.016227066,0.038554555,-0.042820365
3.252747222,0.02953407,0.006641459,0.045637295,0.072051852,0.175269908,0.107957725,0.083736933,-0.028073314
3.280533333,0.047173838,0.010513814,0.057923436,0.071692037,0.175135349,0.107815345,0.05923738,-0.045927819
3.308338889,-0.02156146,0.010031763,0.050943909,0.076435924,0.172881814,0.078656688,0.057855644,-0.059295635
3.33615,-0.024822957,0.011128048,0.07884718,0.076560153,0.16794543,0.096643006,0.01656938,-0.056467043
3.363952778,0.09362009,0.023071798,0.065961114,0.078018989,0.16814904,0.109013046,0.039294749,-0.031321539
3.391766667,0.073682083,0.031280197,0.064062309,0.078498295,0.168098957,0.158983932,0.184200575,-0.060893406
3.419555556,0.071002796,0.009120106,0.085579412,0.070850688,0.164253814,0.151637881,0.075760014,-0.05978237
3.447347222,-0.041036331,0.014196628,0.093272089,0.078044694,0.17062656,0.081176723,0.080863913,-0.062996697
3.475158333,0.039577252,0.014221228,0.100099535,0.074846299,0.167816926,0.151354816,0.072901362,-0.060985041
3.502966667,0.034789087,0.012867894,0.106787034,0.073438266,0.157666354,0.137222363,1.40E-02,-0.056860049
3.530763889,-0.045993414,0.017733319,0.101840705,0.077157225,0.160362501,0.160586766,0.044838541,-0.058704967
3.558566667,-0.06666056,0.029127802,0.109468411,0.07697108,0.165294036,0.130290583,0.085525743,-0.059181583
3.586355556,0.061391149,0.022883324,0.107883836,0.075663491,0.162332535,0.127905578,0.037405327,-0.058993811
3.614169444,0.067267003,0.03178776,0.109102045,0.076861327,0.16989922,0.145695955,0.07117648,-0.063643046
3.641980556,0.045386012,0.030459542,0.101618684,0.078677361,0.158673199,0.234553088,0.061538607,-0.05115757
3.669783333,0.03842046,0.018024273,0.103942021,0.079037648,0.151533944,0.082229497,0.053892963,-0.024465279
3.697569444,0.018710932,0.021902668,0.097167043,0.078188317,0.14946033,0.193341106,0.053753057,-0.021349171
3.725358333,0.064167603,0.023821268,0.091199043,0.078378112,0.154724602,0.258730385,-0.030365005,-0.018439771
