Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1%,M4-1 - 3%,M5-1 - 3%,M6-1 - 10%,M7-1 - 10%,M0 - 3%,M1 - 3%,M2 - 6%,M3 - 6%,M4 - 8%,M5 - 8%,M6 - 10%,M7 - 10%
17.32068889,0.244205841,0.162285276,0.389111649,0.394267177,0.633097499,0.538741567,0.353475458,0.261609465,0.818947653,0.659991975,1.878306691,2.305470206,2.555506228,2.822217674,2.675472599,3.740297363
17.3485,0.269918522,0.143208697,0.386193009,0.390724217,0.638823542,0.540297593,0.339777302,0.260359843,0.81211525,0.661849748,1.894951862,2.319218901,2.589902651,2.86709349,2.676496966,3.75073192
17.37630833,0.269876839,0.160716746,0.385017987,0.386990044,0.641309137,0.540773637,0.352357469,0.268049951,0.819483099,0.664772303,1.907635914,2.361427162,2.610989677,2.890606101,2.71371966,3.801309853
17.40411944,0.277654967,0.200259992,0.388232098,0.391770831,0.642628916,0.543205053,0.356389663,0.258467683,0.827084505,0.664268047,1.932000956,2.37139777,2.628081764,2.908475092,2.749725662,3.821032421
17.43192778,0.279095873,0.176789494,0.385980594,0.391340576,0.643762564,0.545479883,0.345830452,0.273712726,0.81879417,0.664298944,1.948847375,2.389065514,2.649178437,2.953226797,2.766904008,3.866411776
17.459725,0.27186814,0.152548411,0.388956209,0.401288592,0.642797379,0.54931344,0.352949718,0.270945749,0.829257381,0.674533716,1.958621004,2.413133582,2.689489261,2.977998799,2.796179439,3.896857099
17.48751944,0.266753928,0.204904184,0.390914591,0.408277019,0.650645934,0.546075224,0.358512965,0.262254806,0.830746027,0.676729326,1.973831567,2.431718191,2.702329056,3.002689231,2.815490493,3.949946833
17.51530556,0.269260145,0.28304267,0.39488207,0.402538931,0.649709756,0.555612131,0.362471047,0.257789465,0.838827385,0.678953833,1.989813395,2.440370043,2.732731685,3.056412824,2.84273896,3.949774144
17.5431,0.277789248,0.143300356,0.3965195,0.390931361,0.653622396,0.559637494,0.359580807,0.248471509,0.841291928,0.681445542,2.00891169,2.462321438,2.728106754,3.065265342,2.889078212,3.996038504
17.57089167,0.27332805,0.080979724,0.396680341,0.412035176,0.656477581,0.554695133,0.363515913,0.279988327,0.836098997,0.684137795,2.027857674,2.487664058,2.775015075,3.09758544,2.924918178,4.084067007
17.59868889,0.274520441,0.201284413,0.396561436,0.39252745,0.656886177,0.556825466,0.355845572,0.285050742,0.847036727,0.679826604,2.037230365,2.501855485,2.802826425,3.098489022,2.918284794,4.085855856
17.62649167,0.283092238,0.206217037,0.395936672,0.398924343,0.662852994,0.561738233,0.361917284,0.286859943,0.854340688,0.68801234,2.068676115,2.538426891,2.826947761,3.164103216,2.92885466,4.1480796
17.6543,0.272492467,0.189705867,0.400992751,0.403408529,0.660366233,0.563471582,0.350781578,0.25708261,0.853112415,0.690785167,2.081548302,2.53558781,2.850974458,3.184096365,2.968729136,4.173398022
17.6821,0.268099793,0.173213403,0.396290917,0.411908787,0.663419937,0.565430243,0.374171712,0.313207302,0.850660912,0.693468667,2.082719871,2.573122077,2.883656792,3.20557727,2.999863547,4.21915146
17.70989444,0.282553743,0.186504865,0.399667736,0.41803305,0.665760269,0.567945431,0.363143188,0.285310324,0.860298937,0.695474117,2.114255445,2.579671208,2.918945814,3.254024176,3.034059995,4.256285489
17.73768611,0.27663917,0.194448106,0.400217611,0.41026326,0.665017463,0.574084669,0.355311277,0.281407928,0.865728615,0.701114909,2.123960848,2.614961008,2.933782489,3.273508073,3.044345689,4.287563349
17.76549444,0.26610861,0.181836563,0.40057485,0.415063777,0.672908064,0.573240022,0.366662178,0.274762485,0.866090332,0.701503048,2.129410001,2.642263437,2.97123402,3.326220783,3.071614126,4.306448987
17.79330556,0.263451844,0.189215382,0.399268288,0.420586897,0.673650173,0.573094021,0.361666415,0.273127128,0.863051987,0.703678186,2.141849763,2.664340678,2.986622999,3.331429615,3.123118607,4.349808962
17.82110833,0.274295946,0.17253596,0.406498363,0.42394231,0.67776328,0.581064966,0.363729395,0.282803797,0.87651916,0.704589977,2.177339323,2.674929381,3.019955998,3.391908682,3.147698511,4.396666599
17.84891389,0.254362146,0.18497969,0.407355679,0.417352326,0.678281299,0.577031166,0.377203223,0.28823316,0.869484664,0.724930296,2.175735971,2.72009116,3.026965713,3.399158933,3.188983327,4.43545988
17.87671111,0.253937203,0.221731041,0.395902727,0.425283604,0.682393605,0.578550473,0.374253258,0.293367112,0.874044446,0.715410918,2.206172033,2.720162307,3.061030816,3.450021738,3.197847653,4.468218397
17.90450833,0.270380576,0.179659781,0.398059439,0.420288623,0.682834096,0.58127348,0.382245185,0.28377424,0.882368647,0.719604465,2.230542341,2.744657281,3.117174993,3.446159172,3.238007925,4.513711946
17.93229722,0.271344672,0.181475751,0.401845912,0.422146653,0.687582216,0.586048251,0.387048872,0.319411292,0.893363022,0.727848318,2.238449452,2.763496165,3.134266898,3.49272604,3.29242042,4.550649042
17.96008889,0.265112286,0.261313858,0.411112357,0.421238194,0.686021824,0.585943616,0.37257973,0.297663197,0.890797769,0.726516954,2.255010852,2.786045783,3.167351625,3.528408511,3.300641475,4.585710287
17.98789167,0.26640795,0.221268697,0.407994034,0.432528666,0.689134407,0.59209693,0.387658373,0.304283078,0.893600722,0.72702096,2.287296703,2.822282177,3.232103316,3.554260415,3.344687701,4.639841433
18.0157,0.265005452,0.215654244,0.409189534,0.422331134,0.690235696,0.591798691,0.390633285,0.2947337,0.892921275,0.738401751,2.280754485,2.846962239,3.217171076,3.592086942,3.371484511,4.676882568
18.04350833,0.290984345,0.238679043,0.401619309,0.427630231,0.697477435,0.594335198,0.381789033,0.292253655,0.896296382,0.736303464,2.308665244,2.854991156,3.24941511,3.629373556,3.385259431,4.720236878
18.07131944,0.278815481,0.188072592,0.415760784,0.42975109,0.697520621,0.593629587,0.383539644,0.303546117,0.902679641,0.739529486,2.338862021,2.891424463,3.253902895,3.665039108,3.442722115,4.750598826
18.09911944,0.272663563,0.16044125,0.417375122,0.420917543,0.702528743,0.595225965,0.378442729,0.306997542,0.911105216,0.74135468,2.354415116,2.906424493,3.317652542,3.750059617,3.467780076,4.85424239
18.12693056,0.277085278,0.204394297,0.413411231,0.420987036,0.708345821,0.597156345,0.38384207,0.329064684,0.908079943,0.740567918,2.384302894,2.943524542,3.335059909,3.746805272,3.518540763,4.824862125
18.15471667,0.271755014,0.184394991,0.420165999,0.432077855,0.704153606,0.599579718,0.401675866,0.312965943,0.909969584,0.747099862,2.396775347,2.945822587,3.358790122,3.782320057,3.511943707,4.893281571
18.18251944,0.267454962,0.183287677,0.419035563,0.429669929,0.705799824,0.603484868,0.407490472,0.306227852,0.921241156,0.748629251,2.41618977,2.998523415,3.428734394,3.834120016,3.61178383,4.887002907
18.21032222,0.265707673,0.173004762,0.417190865,0.430138355,0.709646733,0.606073222,0.394666688,0.313339126,0.914103178,0.752277648,2.449355818,2.998416708,3.423159857,3.852753308,3.618990318,4.967059798
18.23810833,0.26691389,0.193898731,0.415155561,0.435061805,0.716726315,0.604959594,0.404203414,0.301361636,0.937630874,0.755605798,2.453444294,3.053543921,3.459158685,3.905434879,3.635639191,4.986332333
18.26589722,0.275778823,0.175133695,0.42101441,0.440125501,0.715018396,0.607132043,0.399212332,0.316070096,0.93630857,0.754520031,2.486194173,3.03159869,3.491028008,3.937929128,3.668652053,4.989169123
18.29368611,0.263374839,0.178142769,0.419706467,0.434358932,0.719030621,0.610629354,0.407993583,0.309573657,0.938196528,0.756693419,2.502426309,3.070999749,3.528959166,3.954505286,3.70861549,5.0639177
18.32147778,0.242724483,0.182469573,0.424395395,0.435345721,0.720097308,0.615302467,0.405162341,0.310692064,0.933441947,0.765228565,2.53209832,3.103177543,3.581485015,3.976837932,3.760398554,5.094393227
