Time,M0 - 1000,M1 - 1000,M2 - 2000,M3 - 2000,M4 - 3000,M5 - 3000,M6 - 4000,M7 - 4000
6.922866667,0.170276747,0.148448633,0.202964771,0.233016948,0.182301242,0.236442963,0.208677263,0.12956845
6.950672222,0.208301576,0.210042204,0.216787864,0.243319849,0.171793083,0.241062304,0.211185242,0.132353542
6.978463889,0.187839258,0.123464032,0.212602336,0.230688077,0.106976692,0.245700145,0.201838106,0.132700887
7.006272222,0.180493403,0.124447212,0.214925316,0.243135301,0.097985767,0.247188898,0.201865011,0.139338065
7.034058333,0.19089283,0.20286698,0.207868213,0.246183418,0.19640408,0.283047785,0.200780849,0.134234672
7.061858333,0.182396126,0.142675816,0.20379487,0.269107987,0.421542444,0.256311835,0.232412492,0.116635516
7.089666667,0.199778669,0.151602495,0.224637099,0.252691003,0.284517299,0.262233446,0.200824103,0.145576009
7.117469444,0.235513473,0.213370941,0.205259008,0.264841366,0.383913351,0.263351611,0.212127942,0.121320665
7.145261111,0.221992967,0.149362506,0.227011267,0.266920574,0.427437619,0.264769606,0.223790621,0.131372606
7.173052778,0.144286527,0.090882222,0.222505385,0.26339637,0.379173507,0.261869315,0.215562344,0.121690954
7.200844444,0.211613401,0.137165532,0.230396655,0.276938562,0.399309524,0.258404457,0.23093115,0.132324256
7.228636111,0.203078304,0.126644457,0.2335486,0.270366041,0.406003681,0.243074363,0.213698473,0.124614693
7.256447222,0.211097929,0.165751029,0.23038061,0.263890988,0.405431937,0.269707442,0.210276535,0.133118056
7.284263889,0.1799443,0.275260479,0.22987509,0.243400937,0.327258244,0.262338351,0.218264058,0.137685583
7.312075,0.155837313,0.250610698,0.235099498,0.249482575,0.308874662,0.267994634,0.229630201,0.120857511
7.339880556,0.167666349,0.239846712,0.231668422,0.255754609,0.301069643,0.267031897,0.233273264,0.131432644
7.367677778,0.182458373,0.251124406,0.231697684,0.26067208,0.330997234,0.264596217,0.229310888,0.12843442
7.395483333,0.178698026,0.266960258,0.235391948,0.273890764,0.326829761,0.272550303,0.242716604,0.13362912
7.423286111,0.171663933,0.293199437,0.23657519,0.288012537,0.322636252,0.268467939,0.22015065,0.132081026
7.451080556,0.173622273,0.28490585,0.235228616,0.288469259,0.341408242,0.272609098,0.229477025,0.146249375
7.478888889,0.183693579,0.322528656,0.237364274,0.27966565,0.29608345,0.267390008,0.223233686,0.135838844
7.5067,0.179249026,0.20433723,0.23385703,0.280210651,0.285992328,0.252962031,0.241965951,0.138594789
7.534508333,0.181500403,0.232540304,0.2376387,0.287107431,0.314234887,0.266149629,0.248210344,0.145820892
7.562302778,0.164407716,0.19561322,0.237746373,0.267894529,0.294514204,0.277283708,0.225055591,0.163490234
7.590094444,0.162256389,0.159590779,0.241104831,0.274942959,0.27718809,0.269496269,0.227424857,0.164450364
7.617905556,0.213120356,0.180838804,0.238741183,0.275549531,0.310661239,0.277639526,0.222208378,0.169689993
7.645722222,0.200450699,0.20196437,0.242526361,0.27250919,0.342650094,0.239471082,0.226058255,0.148625848
7.673538889,0.180611286,0.184236832,0.237308469,0.295505979,0.308445757,0.275212831,0.225840663,0.171980301
7.701338889,0.165626372,0.248271343,0.240794215,0.293320517,0.343387358,0.324576357,0.233360214,0.170667805
7.729127778,0.167916415,0.259763793,0.243039447,0.296527918,0.317846057,0.276186956,0.229987914,0.170441339
7.756922222,0.154874641,0.203086152,0.241142262,0.299083992,0.313540308,0.277187533,0.238594263,0.159291989
7.784713889,0.168406603,0.303641636,0.246361041,0.304724071,0.332499516,0.271132302,0.230444977,0.172845351
7.812511111,0.180312074,0.290304548,0.235584449,0.296730183,0.346462542,0.284618375,0.236674307,0.175859356
7.840319444,0.172382992,0.294236141,0.246980045,0.306476391,0.345689029,0.283372341,0.234373826,0.155655517
7.868125,0.181528762,0.351042782,0.240157854,0.295234839,0.345335238,0.276691049,0.234106588,0.164241011
7.895922222,0.181827872,0.262539244,0.251502965,0.287927402,0.328896878,0.282346235,0.235616142,0.15968553
7.923733333,0.193309774,0.200060416,0.246331735,0.30979521,0.306780477,0.278584357,0.250664881,0.166849648
7.951530556,0.169001502,0.17650702,0.239972908,0.298406938,0.339527646,0.289319228,0.246071549,0.178728686
7.979347222,0.181453035,0.179034787,0.253029845,0.296043664,0.344628416,0.287035273,0.246497422,0.160045704
8.007155556,0.196187549,0.232248315,0.243492263,0.294983166,0.334855032,0.27315057,0.246998845,0.183423875
8.034966667,0.182121824,0.195046842,0.23877029,0.296197403,0.333028313,0.261085387,0.236557096,0.170427251
8.062766667,0.173862251,0.187859763,0.245575767,0.295677891,0.342297479,0.274900792,0.25342361,0.166575665
8.090572222,0.19186137,0.182779397,0.250399048,0.306219376,0.342546043,0.266938938,0.251511747,0.193886655
8.118383333,0.183698757,0.239480557,0.243501881,0.312933403,0.335885227,0.267641845,0.25599615,0.184029316
8.146183333,0.183332544,0.35031079,0.250213834,0.293451573,0.317126117,0.261700487,0.250246068,0.185780224
8.173977778,0.170457649,0.260564636,0.247668243,0.30386678,0.357799633,0.277196817,0.253659137,0.195039647
8.201783333,0.171982648,0.267737891,0.246033983,0.317103942,0.364231855,0.273796958,0.264482041,0.179751746
8.229591667,0.184608575,0.373972465,0.257736343,0.317069355,0.331367595,0.282609948,0.253184476,0.175406372
8.257402778,0.185758574,0.262080302,0.256232159,0.315923425,0.330629881,0.283336604,0.254653195,0.180624669
8.285194444,0.175210968,0.279709495,0.260273068,0.309519424,0.350139008,0.279989089,0.268375663,0.201752124
