Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1% ,M4-1 - 10%,M5-1 - 10%,M6-1 - 100%,M7-1 - 100%,M0-2 - 3%,M1-2 - 3%,M2-2 - 1%,M3-2 - 1%,M4-2 - 6%,M5-2 - 6%,M6-2 - 8%,M7-2 - 8%
2.724505556,0.032415462,-0.144773605,0.070417516,-0.017702766,-0.122754447,0.114428766,0.10482013,0.048082803,0.021185051,-0.045183222,0.07108317,-0.021301768,0.159778332,0.198571101,0.138957975,0.059646071
2.752316667,0.030177051,-0.113229172,0.057082785,-0.024191309,0.119148598,0.14221218,0.110474225,0.072676229,0.02170547,-0.042435815,0.145856386,-0.029833346,0.111737242,0.111994574,0.123693744,0.085605208
2.780108333,0.029202594,-0.140006861,0.061450548,-0.081077123,-0.051109952,0.102701338,0.065340053,0.009822069,0.046546228,-0.08137215,0.08592398,-0.027064746,0.122244422,0.158145039,0.114288707,0.081338968
2.807905556,0.030365024,-0.092520975,0.067604202,-0.019490525,0.362113278,0.131097688,0.076682371,0.016476422,0.021174685,-0.100313701,0.101934488,-0.003394893,0.118124363,0.140946365,0.101630491,0.041988141
2.835694444,0.029625326,-0.133046229,0.05997482,-0.020183156,-0.117955864,0.061406626,0.07977472,0.017536034,-0.043969555,-0.070879396,0.228252332,-0.036055227,0.142985212,0.17609017,0.125959151,0.065005636
2.863480556,0.029899869,-0.129252089,0.084811385,-0.044937964,-0.041353027,0.043508031,0.055931355,0.007080434,0.039048754,-0.027294897,0.163726033,-0.048597739,0.139222834,0.232241545,0.112742204,0.036880206
2.891277778,0.032666278,-0.140686736,0.092139985,-0.044902015,0.417554875,0.143348635,0.110414772,0.028583738,0.014454209,0.013017929,0.091514988,-0.018638891,0.138527853,0.147713415,0.10680883,0.053975189
2.919077778,0.029291183,-0.137908756,0.060325507,-0.042746085,0.464357097,0.106206417,0.067968903,0.01465253,0.047587719,0.003090775,0.09312327,-0.02351193,0.153862677,0.119206607,0.145967967,0.056532233
2.946886111,0.061575358,-0.099421625,0.077373227,-0.04138187,0.242938806,0.141428448,0.092343287,0.002955649,-0.01546063,-0.098077256,0.267125201,0.005798887,0.142566911,0.112169238,0.132879144,0.051648953
2.974686111,0.059047876,-0.143311947,0.100892486,-0.037232244,-0.247530962,0.076764008,0.085958671,0.005226364,0.054848808,-0.082849847,0.109515387,-0.029258698,0.148586158,0.137390857,0.088207075,0.030681149
3.002494444,0.054892343,-0.093400288,0.063748652,-0.023988265,-0.209961041,0.232500584,0.071918667,0.025134343,-0.051759366,-0.039073512,0.107763447,-0.024992182,0.157976067,0.206135784,0.094941169,0.05272468
3.030283333,0.062117948,-0.135238363,0.085531788,-0.043117054,-0.199977696,0.141638516,0.052124863,0.089719978,0.025235204,-0.064376256,0.064620596,-0.023658398,0.127391087,0.387347195,0.116559936,0.04401856
3.058080556,0.065132317,-0.106242518,0.082867664,0.044017912,-0.156611833,0.188284836,0.073877915,0.104973286,0.0478832,-0.076493837,0.115924506,-0.018677887,0.138643743,0.324546799,0.104526588,0.039494664
3.085877778,0.048260928,-0.107381247,0.035434211,-0.086911932,0.402433917,0.525853148,0.089300619,0.018352737,-0.072731244,-0.021765073,0.105450209,-0.024618914,0.1078896,-0.013923734,0.100926277,0.030700809
3.113677778,0.031631578,-0.120641974,0.096337309,-0.037772693,0.567525026,0.05110742,0.076207095,0.059247976,-0.029123393,-0.033418394,0.141389135,-0.007688214,0.134267496,0.169303418,0.095507365,0.045476059
3.141463889,0.036697667,-0.140066972,0.102220283,-0.042023186,0.524557188,0.136953265,0.09392026,0.062993551,-0.006078476,-0.06952874,0.065722939,-0.016390911,0.112855751,0.15454818,0.109388691,0.050178649
3.169275,0.037114149,-0.139861186,0.107572778,0.03390786,0.252298587,0.103415336,0.075770836,0.014088666,0.05701461,-0.071587173,0.206138034,-0.029568849,0.125026448,0.09729749,0.116363015,0.046333726
3.197083333,0.040005586,-0.136181736,0.197351902,-0.039262098,0.205869825,0.099381044,0.079236181,0.062499076,0.057762476,-0.101838035,0.102958719,-0.019806274,0.100166531,0.177950919,0.112872679,0.04922689
3.224894444,0.039059329,-0.137989245,0.11570807,0.06855216,0.089314824,0.13932291,0.088428176,0.011749821,0.053459632,-0.048875514,0.136599053,-0.016096538,0.116730601,0.111214962,0.135663617,0.064977089
3.2527,0.041572255,-0.131842795,0.131089168,-0.033689961,-0.054068863,0.10000157,0.079546342,0.014900606,0.016006993,-0.058660466,0.139164253,-0.015135875,0.099661515,0.122339963,0.100039355,0.065103133
3.280491667,0.036076802,-0.141153476,0.100486989,0.007327738,-0.055230418,0.172567764,0.071066531,0.044016217,0.066461525,-0.105860714,0.162433843,0.005265797,0.129663284,0.221334995,0.110597092,0.056741042
3.308286111,0.05926411,-0.108897186,0.067781658,0.003352959,0.084040962,0.158883167,0.083654723,0.052091632,0.001710334,-0.067598469,0.165198992,-0.003361613,0.113590468,0.130441652,0.108877535,0.066680549
