Time,M0 - SGy103-10 - 0%,M1 - SGy103-16 - 0%,M2 - SGy103-10 - 1%,M3 - SGy103-16 - 1%,M4 - SGy103-10 - 10%,M5 - SGy103-16 - 10%,M6 - SGy103-10 - 100%,M7 - SGy103-16 - 100%
3.503108333,-0.022586897,-0.007540143,0.05197484,0.115707416,0.144420382,0.108470991,7.21E-02,-8.06E-02
3.530908333,0.024613105,-0.015675324,0.084045642,0.11020021,0.127424663,0.107786385,0.055691902,-0.079131557
3.558716667,0.030397079,4.53E-02,0.069518899,0.110807722,0.141070535,0.145140392,0.043649267,-0.095277364
3.586522222,-0.006900476,0.082358518,0.063065948,0.112317391,0.111914404,0.105248717,0.128012892,-0.055077549
3.614330556,-0.00333452,0.034609292,0.071882616,0.11450319,0.126246795,0.102803242,0.117270669,-0.084923668
3.642125,0.004624476,0.000953874,0.088417302,0.109816463,0.131137583,0.107957679,0.110801334,-0.096735517
3.669919444,0.087176366,0.031565089,0.070614623,0.108816139,0.120396424,0.104546835,0.064651719,-0.079996942
3.697713889,0.030895504,-0.022092806,0.060252628,0.106823478,0.112281233,0.104474392,0.046841342,-0.072070379
3.725502778,0.074965149,3.82E-02,0.072408298,0.108437766,0.125278854,0.127932622,0.075764028,-0.094887969
3.753288889,0.082243701,-0.013741757,0.054805826,0.109851664,0.139891003,0.117793762,0.068271474,-0.070512937
3.781091667,0.087577476,0.010957495,0.080455067,0.109185674,0.112560309,0.109364047,0.052829991,-0.11254047
3.808883333,0.077392801,-0.021254914,0.065527496,0.09856674,0.089167875,0.103126892,0.090580532,-0.075024578
3.836688889,0.085973786,0.070931148,0.066931166,0.09727209,0.106478573,0.131124888,0.101582022,-0.064265611
3.864497222,0.083288752,0.00184827,0.073159087,0.098665619,0.146657389,0.174733306,0.039337254,-0.100065609
3.892302778,0.077069063,0.049108455,0.075945262,0.098702041,0.155548314,0.146284027,0.045446921,-0.103413031
3.920111111,0.078224376,-0.05073553,0.090987179,0.101500584,0.125787837,0.041444695,0.064780071,-0.055543547
3.947922222,0.090944829,0.030562698,0.073301605,0.111849752,0.128492587,0.052859548,0.03103495,-0.083671197
3.975708333,0.083295886,0.049809074,0.081171509,0.099323622,0.102041025,0.06601029,0.051892309,-0.085822307
4.003516667,0.085147796,0.07826934,0.079051224,0.103419876,0.12600242,0.13440011,0.055231099,-0.079203245
4.031316667,0.092499034,0.105238807,0.067266706,1.04E-01,0.155587748,0.128182683,0.087811538,-0.068150724
4.059130556,0.097090603,0.160093348,0.066604523,0.101423167,0.109417026,0.152914763,0.070246288,-0.073549462
4.086916667,0.099271717,0.132089333,0.079769293,0.101728575,0.162575621,0.109618789,0.05513715,-0.102654448
